Start        End            Beta-value
===========================================
15.02.2020   14.03.2020     0.580
15.03.2020   19.04.2020     0.1485
20.04.2020   10.05.2020     0.1507
11.05.2020   30.06.2020     0.176
01.07.2020   31.07.2020     0.072
01.08.2020   31.08.2020     0.268
01.09.2020   25.10.2020     0.232
26.10.2020   04.11.2020     0.225
05.11.2020   30.11.2020     0.230
01.12.2020   03.01.2021     0.182
04.01.2021   21.01.2021     0.155
22.01.2021   07.02.2021     0.204
08.02.2021   01.03.2021     0.304
02.03.2021   24.03.2021     0.219
25.03.2021   05.05.2021     0.189
06.05.2021   26.05.2021     0.182
27.05.2021   20.06.2021     0.205
21.06.2021   04.08.2021     0.155
05.08.2021   31.08.2021     0.248
01.09.2021   24.09.2021     0.178
25.09.2021   14.12.2021     0.225
15.12.2021   13.01.2022     0.198
14.01.2022   25.02.2022     0.259
26.02.2022   14.05.2022     0.183
15.05.2022   10.07.2022     0.268
11.07.2022   17.08.2022     0.182
18.08.2022   ---            0.205
